cz,czname,pop2000,fips,statename,stateabbrv,cur_smoke_q1,bmi_obese_q1,exercise_any_q1,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate
32202,Nacogdoches,103842.0,48,Texas,TX,0.2702703,0.3235294,0.51351351,28.53087,11383.511,1.8104930000000001,0.1866951,0.1169519,0.1376019,0.038588300000000006,0.037072,0.0417934,0.14124560000000003,0.37748000000000004,0.2137114,0.13012,0.47198999999999997,-1.4959151000000002,57.88409,17.54492,9.300669000000001,0.0542783
32301,San Angelo,113973.0,48,Texas,TX,0.27272729999999995,0.375,0.66666669,24.87388,9704.1873,-0.376199,0.1450098,0.11192719999999999,0.1056873,0.0507845,0.0439274,0.0573455,0.1132557,0.35375999999999996,0.1520812,0.11329000000000002,0.52318,-0.3882502,61.055690000000006,3.714038,30.485290000000003,0.0388986
32302,Brady,23666.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,27.70835,10465.463,0.5274183000000001,0.1567902,0.1169058,0.12027460000000001,0.0234761,0.0198049,0.023403900000000002,0.046011800000000005,0.31942,0.1951935,0.14675,0.48986999999999997,-0.82767101,73.05417,1.331023,30.550159999999998,0.0513293
32303,Junction,6828.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,35.12205,8747.4102,-0.6328441999999999,0.1616395,0.0941758,0.1016092,0.032035,0.0325379,0.037823199999999994,0.0504774,0.33995,0.21189589999999997,0.05439,0.43321000000000004,-0.36945226,56.8102,0.1903925,24.5167,0.0371454
32304,Uvalde,35212.0,48,Texas,TX,0.1,0.5,0.60000002,29.8574,10106.738000000001,-0.22293320000000003,0.153994,0.0877628,0.1258069,0.0149094,0.0108906,0.0105941,0.1168556,0.4026,0.2373088,0.13255,0.40613,-0.43511196,87.16631,0.23003520000000002,59.23265,0.058616999999999995
32305,Del Rio,49316.0,48,Texas,TX,0.21031750000000002,0.32158590000000004,0.59523809,30.78765,9346.9356,2.2276290000000003,0.18711,0.1190243,0.148278,0.056146400000000006,0.0429729,0.0678859,0.1436558,0.41216,0.25963600000000003,0.07013,0.36746,-1.7970143,52.362320000000004,1.324114,73.16286,0.0632586
32306,Eagle Pass,47297.0,48,Texas,TX,0.1759259,0.40625,0.57798165,33.88134,11995.53,-1.233562,0.14597120000000002,0.07793430000000001,0.1095508,0.025337799999999997,0.018558900000000003,0.0414017,0.09260349999999999,0.32448,0.3484868,0.09534,0.28739000000000003,-2.9852477000000004,34.68085,0.1120578,95.01236999999999,0.17699489999999998
32401,Big Spring,54073.0,48,Texas,TX,0.2142857,0.5714286,0.5714286,25.49307,10462.308,2.238539,0.2152913,0.107207,0.13844879999999998,0.0416459,0.0448714,0.038269300000000006,0.1031232,0.34378000000000003,0.1822869,0.10352,0.50789,-0.70094684,70.60085,4.952564,40.633959999999995,0.0490011
32402,Sweetwater,20146.0,48,Texas,TX,0.0,0.5,0.16666667,25.422079999999998,10226.146999999999,0.437874,0.1797133,0.0979425,0.1177816,0.040998599999999996,0.0321129,0.0506875,0.0840592,0.34355,0.20766839999999998,0.0736,0.47908,-0.55331774,81.26179,4.085178,26.60081,0.048583
32403,Snyder,26918.0,48,Texas,TX,0.0,0.25,0.5,24.65145,11240.389,2.681086,0.2126111,0.10547060000000001,0.15569000000000002,0.0242464,0.0185867,0.0256615,0.0664687,0.29367,0.16300379999999998,0.07916000000000001,0.5674100000000001,-0.43942259,71.48376,8.228695,28.349059999999998,0.05382050000000001
32501,Abilene,191518.0,48,Texas,TX,0.3033708,0.2619048,0.51685393,24.7036,10086.24,1.830057,0.1836175,0.12333319999999999,0.1346665,0.0662652,0.051854899999999995,0.0803,0.12341179999999999,0.33208000000000004,0.1483741,0.11684000000000001,0.54738,-0.40753222,67.55344000000001,5.911194,16.25487,0.0450648
32502,Childress,9592.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,28.25784,8877.4274,4.685598000000001,0.19825479999999998,0.17959779999999997,0.1605469,0.0064251,0.0029654,0.010507700000000002,0.055112400000000006,0.29589,0.1777606,0.04029,0.50289,0.16514741,73.64471,13.03169,20.16264,0.0493429
32503,Haskell,15157.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,30.897309999999997,10552.438999999998,2.664355,0.1887047,0.1465654,0.1354204,0.002708,0.0007167,0.0019635,0.022205900000000004,0.33823000000000003,0.21550940000000002,0.05069,0.52851,0.11541708,104.902,4.770073,21.17174,0.042318400000000006
32601,Wichita Falls,151524.0,48,Texas,TX,0.32638890000000004,0.2898551,0.5138889,24.05699,10510.239,1.747564,0.19807550000000002,0.1215443,0.123001,0.0571409,0.0543297,0.0554381,0.1479363,0.29561,0.12700619999999999,0.12378,0.60007,-0.17053035,63.54306999999999,8.772867999999999,11.17447,0.0435788
32602,Graham,28556.0,48,Texas,TX,0.4285714,0.2857143,0.5714286,27.194329999999997,12918.582,0.1632295,0.17711849999999998,0.1132387,0.09726239999999998,0.0132113,0.0173843,0.0099939,0.0682438,0.30072,0.147653,0.08506,0.5637,-0.02562345,80.24583,2.447822,9.700238,0.0467027
32603,Seymour,4093.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,28.27263,11182.7,-0.0862243,0.18474949999999998,0.08822239999999999,0.10673410000000001,0.0176893,0.0338284,0.0043436,0.010120700000000002,0.34272216666666666,0.16122650000000002,0.11735233333333334,0.48946666666666666,0.83739298,101.7102,3.298314,9.333008,0.0491626
32604,Vernon,21022.0,48,Texas,TX,0.0,0.0,0.5,25.872410000000002,11350.525,3.833912,0.24881839999999997,0.1140798,0.1564882,0.0252292,0.024197,0.0330426,0.0576091,0.2905,0.14261410000000002,0.3243,0.50726,-0.30836679,86.86614,7.4065270000000005,18.86119,0.037845
32701,Brownwood,58246.0,48,Texas,TX,0.3333333,0.12,0.40740740000000003,28.255779999999998,10558.811000000002,2.052046,0.20040339999999998,0.10396680000000001,0.1467233,0.0278024,0.028867,0.0282743,0.0626697,0.30977,0.17690329999999999,0.09849,0.53538,-0.5648167,71.43324,3.2500080000000002,15.59935,0.0465389
32702,Stephenville,55256.0,48,Texas,TX,0.375,0.5714286,0.75,31.85045,10136.030999999999,0.2007756,0.181081,0.1009288,0.1067174,0.022007,0.0203003,0.0230988,0.051919900000000005,0.31467,0.1609489,0.1386,0.5354399999999999,-0.96313575,60.74815,0.5972202,15.37752,0.039156
32801,Waco,281618.0,48,Texas,TX,0.2753036,0.29218109999999997,0.63436121,24.69656,9046.3068,1.112268,0.18315520000000002,0.11320060000000001,0.12210560000000001,0.10503879999999999,0.1087395,0.1012599,0.19052660000000002,0.3644,0.17381529999999998,0.1276,0.5039399999999999,-0.46754148,59.70605,14.13546,16.91582,0.0494693
32802,Corsicana,100377.0,48,Texas,TX,0.4642857,0.3333333,0.4642857,27.635070000000002,10338.973,0.9830008,0.19485550000000001,0.10359089999999999,0.11818989999999999,0.011207,0.0086759,0.013827700000000002,0.0778387,0.34343,0.169873,0.07452,0.4949,-1.163298,60.96815,16.586470000000002,12.60249,0.0509298
32900,Killeen,330714.0,48,Texas,TX,0.40677959999999996,0.3056768,0.55660379,21.05799,9499.3424,-0.7305136999999999,0.136725,0.09604019999999999,0.11542060000000001,0.0594965,0.052064400000000004,0.06390710000000001,0.0911946,0.28812,0.1169556,0.0811,0.61005,-2.2458906,45.83084,19.30097,15.66368,0.0505702
33000,Fort Worth,1804370.0,48,Texas,TX,0.2704791,0.2689145,0.5956918000000001,23.73346,11491.571000000002,0.7921170999999999,0.17245139999999998,0.11127619999999999,0.1219404,0.11425679999999999,0.09648380000000001,0.13108820000000002,0.22959570000000004,0.34303,0.10391789999999998,0.15257,0.48635,-1.1019931,51.91873,10.45706,17.7744,0.044256199999999996
33100,Dallas,3405666.0,48,Texas,TX,0.2491315,0.27074240000000005,0.5916115,25.4792,11466.026000000002,0.5944775,0.1666572,0.1052296,0.1256708,0.13381279999999998,0.11213060000000001,0.1541058,0.26225479999999995,0.36421,0.11000940000000001,0.19639,0.45408000000000004,-1.1794982,52.55092,15.07356,23.56922,0.0482904
33200,Paris,185835.0,48,Texas,TX,0.3333333,0.3709677,0.43939394,26.55615,11453.351,1.66707,0.19227,0.1088637,0.1364151,0.0371986,0.0389005,0.0372983,0.12928789999999998,0.32686,0.14617660000000002,0.09075,0.53213,-0.88402454,59.178309999999996,10.461969999999999,6.611241000000001,0.0546197
33300,Tyler,434643.0,48,Texas,TX,0.2519531,0.33887740000000005,0.52734375,27.71071,11068.094,0.8729072,0.1754375,0.10892149999999999,0.12436420000000001,0.03152,0.0245719,0.03679280000000001,0.1998974,0.36417,0.14696099999999998,0.11932000000000001,0.51344,-0.80681022,59.38207,14.23674,9.8421,0.0501791
33400,Longview,289849.0,48,Texas,TX,0.34482759999999996,0.3433735,0.57225436,25.438679999999998,11247.582,-0.4778436,0.1516713,0.096991,0.1112366,0.0312377,0.027732,0.031175799999999997,0.12131610000000001,0.35363,0.155385,0.11649000000000001,0.51093,-0.38708099,62.17686,19.33973,6.883584,0.05463099999999999
33500,Texarkana,235988.0,48,Texas,TX,0.3322369,0.380137,0.55902779,23.45521,11099.27,0.302779,0.16171329999999998,0.10672870000000001,0.11897339999999999,0.0390848,0.0339881,0.0405001,0.1629678,0.35564,0.1803122,0.10247,0.50137,-0.85624367,65.68639,20.1345,6.941031,0.0510502
33601,Lawton,171610.0,40,Oklahoma,OK,0.3443902,0.2948847,0.58869398,19.773039999999998,9748.5828,0.4562081,0.16497799999999999,0.1085022,0.11966210000000001,0.0568261,0.058751199999999996,0.057625800000000005,0.10528419999999998,0.30313,0.15578370000000002,0.0863,0.56989,-1.2275242,65.28873,13.13618,7.099236,0.037989
33602,Altus,48010.0,40,Oklahoma,OK,0.2824427,0.41860459999999994,0.61363637,21.85953,12131.621000000001,0.1242407,0.1807661,0.1085229,0.097653,0.0471315,0.0434417,0.05004190000000001,0.0809545,0.30056,0.18195350000000002,0.07529,0.55057,-0.92804001,89.35847,7.37763,13.193079999999998,0.0338398
33603,Frederick,9287.0,40,Oklahoma,OK,0.3025524733333333,0.28870266,0.5867743133333333,24.72589,12285.5,1.2354049999999999,0.2595333,0.0829291,0.0967508,0.0107321,0.0021364,0.0221267,0.020402700000000003,0.25616,0.2187465,0.05457000000000001,0.44883999999999996,-0.33813069,96.95273,8.915689,17.66986,0.0411033
33700,Ardmore,117982.0,40,Oklahoma,OK,0.2840723,0.30884809999999996,0.55500823,23.80142,11276.3,1.494108,0.1859588,0.11121969999999999,0.1336176,0.0188518,0.015174799999999999,0.0217007,0.0767877,0.3211,0.1643869,0.09046,0.53285,-0.36606366,76.06075,4.206574,3.901443,0.0396288
33801,Elk City,60885.0,40,Oklahoma,OK,0.3502538,0.24747470000000002,0.61500001,23.70746,10937.581,-0.0492985,0.17738299999999999,0.0940701,0.10801179999999999,0.023980200000000004,0.0182139,0.0321327,0.0756285,0.31003000000000003,0.1769436,0.06759,0.54183,-0.061682400000000005,83.55917,3.0500119999999997,6.6469570000000004,0.030251999999999998
33802,Chickasha,75666.0,40,Oklahoma,OK,0.29375,0.32765959999999994,0.61203319,21.67892,11152.205,1.048512,0.1784598,0.11464010000000001,0.1223147,0.0415975,0.031443599999999995,0.0511887,0.1517826,0.31911,0.1699098,0.07397000000000001,0.54665,-0.74451875,71.24335,2.974916,4.242328,0.0371468
33803,Oklahoma City,1154246.0,40,Oklahoma,OK,0.32791929999999997,0.27507159999999997,0.57926202,20.83609,10378.965,0.40047540000000004,0.1583779,0.1051271,0.1259327,0.0964456,0.0829328,0.1074124,0.17017390000000002,0.34776999999999997,0.1369124,0.12936,0.51677,-0.49031610000000003,59.640840000000004,10.00419,6.497228,0.0366357
