cz,czname,pop2000,fips,statename,stateabbrv,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,cs_educ_ba,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20
26803,Jamestown,38384.0,38,North Dakota,ND,10.76677,7124.0815,-1.006137,0.1571649,0.10121799999999999,0.0869812,1.550548,85.16026600000001,90.439444,76.95936999999999,85.94563199999999,74.525896,50.091066,0.0227984,0.024109799999999997,0.0207125,0.0399106,0.24519000000000002,0.1111173,0.0837,0.64831,2.2598759999999998,75.53668,0.2813672,0.7659441,0.0258792,-0.1391213,-0.0031171999999999997,0.6312259,0.1039848,0.9601982,0.009743643199999999,0.0128438933,7.8975729999999995,0.6666861,32842.16,79716.78123,5.257338400000001,16.428817000000002,10.25332,19.7259,56.4975,0.15583260000000002,0.005783699999999999,1405.5120000000002,0.0198356,3.44
26901,Fergus Falls,117558.0,27,Minnesota,MN,11.17528,8030.2069,-0.6540241999999999,0.161927,0.0918784,0.10283980000000001,0.896825,73.54934200000001,89.892763,74.64416999999999,81.82056899999999,75.65156400000001,55.50210500000001,0.016914500000000002,0.0197991,0.015515000000000001,0.0954975,0.24959,0.09736739999999999,0.08517999999999999,0.64825,2.7291703,73.14347,0.2943228,1.131356,0.0415499,0.06942849999999999,0.2625936,0.6366826,0.1484402,1.534828,0.0169193079,0.0153371102,26.762520000000002,0.5262953,36093.64,113748.6879,6.7131765,16.869276,15.814,17.199479999999998,52.7865,0.13584960000000001,0.0051145,2972.452,0.0188793,2.5
26902,Little Falls,69851.0,27,Minnesota,MN,12.7465,7124.9619,-0.7136212,0.14515479999999997,0.0933443,0.1121349,-0.0891415,67.294753,83.27473,76.025165,73.87677,70.04357900000001,60.674032999999994,0.0141739,0.012933000000000002,0.0149149,0.058329099999999995,0.23898000000000003,0.1230269,0.06947,0.6592399999999999,1.555984,66.67335,0.2247641,1.1367049999999999,0.05248440000000001,0.019812,0.275938,0.6425179,0.19507750000000001,1.258037,0.022576627400000004,0.021388383799999997,26.849940000000004,0.4352161,31850.94,95280.95891,7.226723799999999,17.418924,7.154383999999999,11.84787,51.9525,0.1445132,0.0035765000000000003,2769.8920000000003,0.017018099999999998,2.5
27001,O'Neill,14875.0,31,Nebraska,NE,17.750339999999998,8763.3585,0.6541139,0.1875051,0.0925967,0.1235447,-0.7269424,87.289893,75.207836,76.979764,61.244423,62.674659999999996,82.410607,0.0047216,0.0028267,0.0066733,0.021750400000000003,0.23356999999999997,0.1386506,0.06285,0.62829,1.3108739999999999,68.80672,0.020168099999999998,0.5983194000000001,0.031128899999999998,-0.1709859,0.004280399999999999,0.654021,0.0331416,0.6876095999999999,0.0037647059000000004,0.005310924399999999,4.216422000000001,0.6531482,31083.88,69468.53723999999,8.5652282,11.959684,10.01571,14.2452,57.44475,0.0967222,0.0026891,1667.5620000000001,0.0235842,1.72
27002,Ord,9975.0,31,Nebraska,NE,20.21142,9292.0331,2.609095,0.1541106,0.180897,0.1280869,-0.592985,86.03711,82.526742,69.690934,66.474159,56.300401,70.467903,0.0023019000000000004,0.0028958,0.0028795,0.024778900000000003,0.29618,0.1360516,0.06536,0.5973,0.83726797,82.21554,0.20050120000000002,1.293233,0.030021299999999997,-0.1901437,-0.0779123,0.6296111,0.0374593,0.8377167999999999,0.0,0.006315789499999999,4.37942,0.6583087,31042.35,54304.19192999999,6.8959649999999995,11.854302,9.689566000000001,14.81766,57.8435,0.1093489,0.0019048,2683.88,0.0317975,1.72
27004,Winner,11222.0,46,South Dakota,SD,20.37576,7884.2167,-0.153814,0.1680954,0.0967939,0.109205,-1.981932,52.448604,84.4313,59.618680000000005,73.54373000000001,56.437746999999995,102.43831,0.0053007,0.00022119999999999998,0.0059521,0.0335066,0.27578,0.19983620000000002,0.07011,0.58608,1.9783721,70.46873000000001,0.035644300000000004,0.8554624,0.0329495,-0.1551607,-0.0508059,0.6272401,0.0140547,0.4895852,0.0012475494999999999,0.0061486366,4.267805,0.6731831,29623.25,56190.70843,4.9640546,14.800486,16.80933,12.85947,52.3025,0.12178519999999998,0.0037426,1772.694,0.027153899999999998,0.0
27005,Yankton,47901.0,46,South Dakota,SD,14.9723,7966.1652,-0.3259338,0.14283410000000002,0.10772739999999999,0.11269289999999998,0.150858,80.870628,84.60323000000001,73.261619,71.300034,71.653044,70.96036,0.016500900000000002,0.0115175,0.015707099999999998,0.1482995,0.24124,0.1118011,0.06798,0.6703600000000001,1.3095073,76.8773,0.6471682,1.175341,0.0320536,-0.038962300000000005,0.03866869999999999,0.6361182,0.14234360000000001,1.070555,0.006555186700000001,0.0115028914,16.33044,0.5825769000000001,31086.26,81619.9676,6.3073014,16.198028,8.914333000000001,18.14272,57.622,0.1377066,0.0034655000000000003,1860.0620000000001,0.0249946,0.0
27006,Mitchell,27613.0,46,South Dakota,SD,15.396289999999999,7726.8313,-0.7413359,0.1420836,0.10968239999999999,0.0986415,0.7395326,85.312516,86.21765500000001,71.376476,80.33540699999999,72.95023,65.85458,0.007243899999999999,0.007268600000000001,0.009301700000000001,0.0324629,0.26133,0.1240807,0.13422,0.6392399999999999,2.0591327,78.69119,0.210046,0.8112121,0.026197500000000002,-0.016491,0.14147010000000002,0.6671774,0.1332856,0.9905609000000001,0.012747618899999999,0.0148480788,12.858830000000001,0.6406648,33752.84,82273.1959,5.2519562,14.797533,15.04044,18.14149,52.27,0.1507009,0.0099591,1673.1529999999998,0.0296414,0.0
27007,Huron,19318.0,46,South Dakota,SD,14.51418,6917.3322,2.383513,0.18366729999999998,0.1419135,0.1347455,1.291569,88.60314699999999,90.370509,71.814779,86.999299,68.93821899999999,53.738261,0.008371600000000002,0.0084403,0.0055962,0.040963099999999995,0.24488000000000001,0.1291739,0.0842,0.64908,3.5500816,75.05435,0.6108293,0.8385961,0.033368,-0.12683060000000002,-0.0468765,0.6487616999999999,0.123877,1.023873,0.0094212651,0.0196707734,10.80059,0.6704858,35616.66,72156.18393,5.1201578,15.545826000000002,7.178036,17.58719,52.12225,0.1654961,0.004762399999999999,1635.942,0.0256435,0.0
27008,Parkston,20883.0,46,South Dakota,SD,17.44576,8019.304,0.5576779000000001,0.163778,0.12369180000000002,0.10981410000000001,0.35233000000000003,86.802495,92.012421,71.61616500000001,75.378469,63.104367,84.08999200000001,0.011734,0.012962399999999999,0.0060897,0.33268000000000003,0.25422,0.195275,0.08575,0.63147,2.7743678,90.26481,0.0909831,1.110952,0.030895099999999995,-0.1002973,-0.0354184,0.5985801,0.0659038,0.6514043,0.0072786477,0.0085715654,8.909436999999999,0.6125218000000001,29594.07,58080.745,4.7355529,14.062063,6.127351999999999,14.16624,51.08525,0.14002379999999998,0.0017239,1538.862,0.0279616,0.0
27009,Chamberlain,11291.0,46,South Dakota,SD,19.312739999999998,8067.8934,-1.747656,0.08910830000000002,0.11408199999999999,0.10295560000000001,-0.7600818,81.768861,77.57974,63.035155,64.947164,66.716789,56.172656,0.0561361,0.0676008,0.0386525,0.5537449000000001,0.30216,0.2557069,0.07207000000000001,0.5693199999999999,0.6815989,69.63953000000001,0.1682756,0.5491099,0.0385407,0.0354916,0.0967466,0.6429590999999999,0.0232975,0.46112700000000006,0.0033655124,0.0047825702,3.854228,0.5997028,26745.55,72189.98331,5.188422900000001,13.201873999999998,13.686420000000002,16.24318,40.95175,0.24200909999999998,0.004074,1366.201,0.0247451,0.0
27011,Pierre,20809.0,46,South Dakota,SD,12.82536,7144.6749,1.224841,0.17312020000000003,0.11170899999999999,0.13440639999999998,0.5408970999999999,79.39425899999999,83.358148,75.060536,69.339085,71.212471,19.477785,0.015801,0.0138174,0.0169108,0.0794346,0.26621,0.0838871,0.07779,0.6087899999999999,5.266008,69.94089,0.1681965,1.0812629999999999,0.0236696,0.1102278,0.20191520000000002,0.7394845999999999,0.0152431,1.173653,0.0123504253,0.0125426498,6.520948000000001,0.7666386,38652.54,120952.4866,5.098710700000001,17.675302,8.611669000000001,29.514709999999997,46.67100000000001,0.18387910000000002,0.006535600000000001,1942.68,0.0269656,0.0
27101,Willmar,85394.0,27,Minnesota,MN,10.54734,7563.6705,-0.1300209,0.167638,0.1064808,0.10143239999999999,0.9839684000000001,69.633543,90.766369,76.04937,82.36544,79.071775,56.642926,0.0235246,0.022446200000000003,0.0251586,0.1809027,0.23595,0.09081399999999999,0.07697000000000001,0.65879,2.6264035,84.36775,0.6265076999999999,4.780195,0.0420807,-0.0391025,0.11320610000000002,0.6544191999999999,0.15758470000000002,2.462967,0.0095557065,0.0122022625,23.42636,0.5494454000000001,35795.2,96403.11325,7.862631599999999,16.501911,5.464122,15.986220000000001,51.92075,0.14794939999999998,0.005679600000000001,3638.4109999999996,0.0175592,2.5
27102,Marshall,51470.0,27,Minnesota,MN,10.50911,7255.1839,1.208041,0.180065,0.12828489999999998,0.1135837,0.21161999999999997,71.65664,89.245806,58.668548,79.581204,75.571865,48.621320000000004,0.0174634,0.012101700000000002,0.0204672,0.0885729,0.23985,0.09517089999999999,0.0909,0.66054,2.8433023,80.7655,0.8470953999999999,2.442199,0.034556199999999995,-0.0777143,0.0909452,0.6880509,0.1754895,2.7380240000000002,0.008898387399999999,0.014183019199999999,23.39865,0.6209962,34330.34,89742.52648,6.325285,16.295091,11.33177,17.91311,55.25975,0.13506529999999997,0.0020594999999999997,3783.342,0.0201799,2.5
27201,Sioux Center,58454.0,19,Iowa,IA,12.0397,7551.4835,0.6602423000000001,0.1411252,0.14667629999999998,0.1088354,0.7844937,68.823592,89.10443599999999,79.968103,84.017826,70.076295,57.596630000000005,0.0066682,0.0048225,0.006097600000000001,0.047405699999999995,0.19772,0.0678228,0.13264,0.7337600000000001,2.8196852000000003,92.83368,0.1950251,1.9109040000000002,0.0239239,-0.0367001,0.1756633,0.6895932,0.1879031,2.275009,0.0083826599,0.0102131591,30.3112,0.628929,32542.37,96923.6054,6.003011900000001,14.894279999999998,10.513530000000001,17.35546,58.29325,0.0820834,0.0032162,2097.366,0.0231552,2.86
27202,Worthington,60435.0,27,Minnesota,MN,12.92573,7374.8105,0.35692840000000003,0.15089370000000002,0.11704819999999999,0.11926669999999999,1.456443,85.775929,88.80340100000001,74.032608,85.724159,76.22495699999999,48.40699,0.00997,0.0063901,0.0102821,0.1929318,0.20207,0.1004945,0.06866,0.71311,2.8129193999999997,86.35394000000001,0.456689,5.0666,0.035111,-0.13986220000000002,-0.0099611,0.6530238,0.1932738,4.315484,0.0041863159,0.0098452883,19.12333,0.5888279000000001,34678.46,74221.8151,6.8480716,15.891404999999999,8.615917,13.51721,54.33975,0.1321642,0.0061884999999999996,3025.409,0.0202009,2.5
27301,Spencer,61106.0,19,Iowa,IA,11.08911,7016.7803,1.292408,0.1801812,0.1238795,0.12012529999999999,0.582074,80.106268,86.77848399999999,75.851239,76.198003,69.54311700000001,56.4879,0.011762100000000001,0.0091895,0.0130472,0.021451400000000002,0.24454,0.0854725,0.12545,0.68411,1.8206026000000002,78.05289,0.127647,0.8526168,0.0316562,-0.124769,0.013374500000000001,0.6571213,0.1861194,1.135532,0.0084116126,0.009540798,24.5723,0.5977591999999999,38060.72,95643.97577,6.271250299999999,14.551285,9.50328,16.487000000000002,53.88399999999999,0.14693370000000003,0.0043858000000000005,2689.3,0.026324599999999997,2.86
27302,Fairmont,49010.0,27,Minnesota,MN,11.456719999999999,7102.7298,-0.3894196,0.1582387,0.09913150000000001,0.10712709999999999,-0.0071452,60.973849,83.46558,79.459764,79.010482,66.980971,55.472935,0.0169203,0.021115099999999998,0.012920300000000001,0.0522507,0.22291,0.09361119999999999,0.07086,0.69538,2.8600453999999997,87.78004,0.24076720000000001,2.9830650000000003,0.0405702,-0.1511509,-0.034643,0.6480948000000001,0.2068149,1.634333,0.0093858396,0.0120995715,26.94756,0.5756366999999999,35647.91,74923.1976,7.665136099999999,15.263044,9.025793,14.64316,52.0165,0.1565581,0.0036931,3270.012,0.0218201,2.5
