cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
8100,Columbia,722201.0,45,South Carolina,SC,82.45307,85.43101,86.35558,87.83957,76.22108,80.37685,83.22131,84.8818,562335,498503,451223,388821,462555,449135,426914,363806
8201,Barnwell,72733.0,45,South Carolina,SC,82.87388,85.36946,83.18997,86.84751,75.94806,79.73291,82.1144,84.82342,73299,41283,29123,15987,58907,42381,29560,14303
8202,Charleston,587297.0,45,South Carolina,SC,83.16964,84.50886,86.56621,87.84663,76.62891,80.60786,83.13537,85.77871999999999,458764,391785,369830,340194,367423,363378,356243,322048
8300,Greenville,894291.0,45,South Carolina,SC,82.1107,85.20959,86.59640999999999,88.24871,75.58492,80.35664,83.29803000000001,85.50068,670320,632039,572325,470778,597178,603672,557332,446211
8401,Augusta,525842.0,13,Georgia,GA,82.38327,84.11776,85.48756,87.9733,75.60674,79.16807,82.56083000000001,84.69566,417105,319100,308756,274498,318462,301195,304035,256891
8402,Washington,35518.0,13,Georgia,GA,82.53435,83.38481999999999,86.95918,89.14468000000001,76.94126,79.45123000000001,84.34595999999999,85.72091,34391,20064,16169,17311,28229,22049,15452,14729
8501,Fitzgerald,27415.0,13,Georgia,GA,83.54179,85.00088000000001,84.48810999999999,85.41731999999999,74.9819,78.82635,79.9854,84.75851,25091,14685,10553,6045,21658,15373,10141,5313
8502,Cordele,42098.0,13,Georgia,GA,81.89282,83.03971,85.56711999999999,87.90633000000001,74.48084,80.04096,81.8701,83.65795,43878,23181,18886,11352,35690,24494,17828,9891
8503,Valdosta,241530.0,13,Georgia,GA,83.17357,83.97225,85.01942,87.72614,75.42968,79.2769,81.99915,84.48089,209425,132848,110248,74247,177592,136967,105623,68404
8601,Waycross,113122.0,13,Georgia,GA,82.12374,84.26804,85.08981,85.64699,75.09201999999999,78.94885,81.3252,81.77786,103734,69208,51235,27908,93323,71329,47894,25230
8602,Brunswick,93044.0,13,Georgia,GA,81.56192,84.1233,85.70973000000001,87.23131,74.56796,78.29473,81.73536999999999,84.48836,80695,61483,55921,51136,65398,56344,52383,46193
8701,Hinesville,131279.0,13,Georgia,GA,81.83363,83.30076,85.5309,87.57191,74.70501,78.57406,81.03566,80.73313,93334,68110,60932,30956,71408,73998,61737,28128
8702,Statesboro,111346.0,13,Georgia,GA,83.94905,83.59845,86.62711,87.46797,75.18836999999999,79.9704,81.62429,84.82760999999999,92299,54844,45362,31874,75404,55385,44153,29628
8800,Savannah,434615.0,13,Georgia,GA,82.60370999999999,84.67448,86.21654000000001,88.34359,75.95258000000001,79.95187,82.28135999999999,85.64788,330847,278177,263792,276078,262376,249816,254398,250215
8900,Macon,386870.0,13,Georgia,GA,81.76173,83.96339,85.95241999999999,88.04411,74.64969,78.73355,82.00939,84.42501,296455,235062,238892,201756,233491,222902,236269,187904
9001,Vidalia,108438.0,13,Georgia,GA,82.16060999999999,83.87035999999999,85.77139,88.20047,76.06379,79.61161,83.13776,83.54045,97935,58947,44081,27268,82682,62431,42406,25072
9002,Milledgeville,83808.0,13,Georgia,GA,81.7661,83.11975,84.53626,87.5622,75.47326,79.00480999999999,83.4576,83.45047,68645,48473,38745,29263,53695,47572,36188,25888
9003,Dublin,74610.0,13,Georgia,GA,82.87249,83.65826,87.18332,86.24727,75.62832,79.27122,81.1451,84.27937,67110,42853,35614,23692,52806,44273,33612,21851
9100,Atlanta,3798017.0,13,Georgia,GA,82.66129000000001,84.75105,85.96465,87.82871999999999,77.3813,80.15654,82.68616,85.36822,2469404,2533533,2420333,3063314,2222050,2160879,2209872,3060530
9200,Griffin,135136.0,13,Georgia,GA,81.44099,83.1925,86.20584000000001,86.92313,74.85750999999999,79.64063,80.57083,84.1489,118470,92258,79770,48149,97635,95646,78906,43846
9301,Athens,212223.0,13,Georgia,GA,82.31524,84.95393,86.1011,88.15879,76.11649,80.31454000000001,83.15507,86.98801,139139,130133,122594,104830,121291,126595,118333,97831
9302,Toccoa,89228.0,13,Georgia,GA,83.76125,85.60716,87.24958000000001,87.74201,75.57648,80.22729,82.59093,83.28655,78481,63119,49283,25706,70862,65620,45034,22731
9400,Gainesville,272150.0,13,Georgia,GA,82.53645,85.83163,86.5971,87.58305,75.86703,80.62007,82.86789,84.98209,209681,204144,194451,153423,199306,209258,188923,146142
9500,Talladega,148252.0,1,Alabama,AL,82.12186,84.37951,85.30328,87.44685,75.37514,78.78756,82.30943,85.62939,120721,89028,71541,41146,103648,94784,71830,37188
9600,LaGrange,457299.0,13,Georgia,GA,81.4577,84.39693,85.49945,87.23017,75.03661,79.25541,82.37397,84.47804000000001,372382,329998,309368,217724,313098,334068,312337,209470
9701,Columbus,303656.0,13,Georgia,GA,81.56789,83.59236999999999,83.92048,86.40681,75.17681,78.88105,81.2697,84.28773000000001,260636,189315,158020,115281,206108,184848,148189,107676
9702,Americus,65826.0,13,Georgia,GA,83.35759,83.36211,85.33598,87.25523000000001,75.89358,79.05415,83.58327,86.17413,51205,29445,22389,13516,42010,30471,21235,11903
